iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
DMA,North America,Dominica,2020-03-22,1.0,1.0,,,,,13.891,13.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-23,2.0,1.0,,,,,27.781,13.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-24,2.0,0.0,,,,,27.781,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-25,7.0,5.0,,,,,97.234,69.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-26,11.0,4.0,,,,,152.797,55.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-27,11.0,0.0,1.571,,,0.0,152.797,0.0,21.828,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-28,11.0,0.0,1.571,,,0.0,152.797,0.0,21.828,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-29,11.0,0.0,1.429,,,0.0,152.797,0.0,19.844,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-30,11.0,0.0,1.286,,,0.0,152.797,0.0,17.859,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-03-31,12.0,1.0,1.429,,,0.0,166.688,13.891,19.844,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-01,12.0,0.0,0.714,,,0.0,166.688,0.0,9.922,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-02,12.0,0.0,0.143,,,0.0,166.688,0.0,1.984,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-03,12.0,0.0,0.143,,,0.0,166.688,0.0,1.984,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-04,14.0,2.0,0.429,,,0.0,194.469,27.781,5.953,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-05,14.0,0.0,0.429,,,0.0,194.469,0.0,5.953,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-06,15.0,1.0,0.571,,,0.0,208.359,13.891,7.938,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-07,15.0,0.0,0.429,,,0.0,208.359,0.0,5.953,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-08,15.0,0.0,0.429,,,0.0,208.359,0.0,5.953,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-09,15.0,0.0,0.429,,,0.0,208.359,0.0,5.953,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-10,16.0,1.0,0.571,,,0.0,222.25,13.891,7.938,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-11,16.0,0.0,0.286,,,0.0,222.25,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-12,16.0,0.0,0.286,,,0.0,222.25,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-13,16.0,0.0,0.143,,,0.0,222.25,0.0,1.984,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-14,16.0,0.0,0.143,,,0.0,222.25,0.0,1.984,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-15,16.0,0.0,0.143,,,0.0,222.25,0.0,1.984,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-16,16.0,0.0,0.143,,,0.0,222.25,0.0,1.984,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-17,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-18,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-19,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-20,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-21,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-22,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-23,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-24,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-25,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-26,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-27,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-28,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-29,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-04-30,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-01,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-02,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-03,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-04,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-05,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-06,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-07,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-08,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-09,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-10,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-11,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-12,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-13,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-14,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-15,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-16,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-17,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-18,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-19,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-20,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-21,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-22,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-23,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-24,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-25,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-26,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-27,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-28,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-29,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-30,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-05-31,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-01,16.0,0.0,0.0,,,0.0,222.25,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-02,18.0,2.0,0.286,,,0.0,250.031,27.781,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-03,18.0,0.0,0.286,,,0.0,250.031,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-04,18.0,0.0,0.286,,,0.0,250.031,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-05,18.0,0.0,0.286,,,0.0,250.031,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-06,18.0,0.0,0.286,,,0.0,250.031,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-07,18.0,0.0,0.286,,,0.0,250.031,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-08,18.0,0.0,0.286,,,0.0,250.031,0.0,3.969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-09,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-10,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-11,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-12,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-13,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-14,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-15,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-16,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-17,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-18,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-19,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-20,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-21,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-22,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-23,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-24,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-25,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-26,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-27,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-28,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-29,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-06-30,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-07-01,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-07-02,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-07-03,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DMA,North America,Dominica,2020-07-04,18.0,0.0,0.0,,,0.0,250.031,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
